"old_nc_name","new_nc_name","nc_id","Month","Avg deployment"
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-10-01,5
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-11-01,8
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2021-12-01,5
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-01-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-02-01,7
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-03-01,1
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-04-01,0
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-05-01,0
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-06-01,1
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-07-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-08-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-09-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-10-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-11-01,2
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2020-12-01,1
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-01-01,0
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-02-01,0
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-03-01,1
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-04-01,3
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-05-01,5
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-06-01,7
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-07-01,29
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-08-01,25
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-09-01,23
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-10-01,7
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-11-01,3
"ATWATER VILLAGE NC","ATWATER VILLAGE NC",37,2019-12-01,2
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-01-01,4
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-02-01,6
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-03-01,7
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-04-01,10
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-05-01,12
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-06-01,11
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-07-01,7
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-08-01,9
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-09-01,6
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-10-01,NA
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-11-01,NA
"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",64,2022-12-01,NA
