"NC_ID","data_nc_name","cert_name","month_yr","avg_depl"
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2021-12-01,5
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-01-01,4
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-02-01,7
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-03-01,10
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-04-01,9
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-05-01,10
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-06-01,18
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-07-01,9
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-08-01,4
37,"ATWATER VILLAGE NC","ATWATER VILLAGE NC",2022-09-01,10
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-01-01,1
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-02-01,1
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-03-01,1
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-04-01,11
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-05-01,10
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-06-01,12
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-07-01,19
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-08-01,24
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-09-01,13
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-10-01,16
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-11-01,11
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2019-12-01,8
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-01-01,11
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-02-01,12
64,"BEL AIR-BEVERLY CREST NC","BEL AIR-BEVERLY CREST NC",2020-03-01,9
